,volume_BTC,open_BTC,low_BTC,high_BTC,close_BTC,volume_ETH,open_ETH,low_ETH,high_ETH,close_ETH
2023-01-01,2775.514873,16519,16497,16771.5,16714,30710.64956,1194.3,1192.55,1220.05,1212.45
2023-01-02,4196.490738,16714,16646.5,16788.5,16730.5,62574.24303,1212.75,1211.6,1223.2,1216.55
2023-01-03,5270.260175,16730,16603.5,16903,16876,93092.93577,1216.55,1204.65,1255.6,1252.6
2023-01-04,5571.352194,16875.5,16759.5,16988,16820.5,70631.16868,1252.65,1243.45,1271.95,1251.25
2023-01-05,5572.71744,16820.5,16752.5,16873,16783,63309.29345,1251.2,1240.45,1258,1247.8
2023-01-06,5611.419541,16783,16653.5,17028,16951,77886.2688,1247.8,1231.4,1276.65,1267
2023-01-07,1066.92632,16951,16913.5,16961.5,16961.5,23559.22697,1267,1257.7,1267.5,1264.4
2023-01-08,3830.425257,16961.5,16925.5,17260,17206.5,84700.32559,1264.4,1262.05,1313.75,1312.55
2023-01-09,5617.890698,17206,17135.5,17406.5,17206,94053.46503,1312.6,1307.8,1345.05,1323.85
2023-01-10,6451.651209,17206,17192,17515.5,17464.5,69321.42371,1323.8,1322.15,1347.65,1336.1
2023-01-11,14544.62575,17465,17325,18398.5,18127,140102.6435,1336.1,1320.6,1420,1396.65
2023-01-12,23430.64351,18127,17930,19143.5,18843,216320.3553,1396.6,1362.45,1437.75,1409.05
2023-01-13,28309.03168,18843,18821,21489,20924.5,306930.7618,1409.05,1401.6,1636.65,1554.05
2023-01-14,14790.00052,20924,20290,21222,20749.5,115942.4422,1554.1,1505.8,1568,1531
2023-01-15,10735.29329,20750,20593,21466,21125,70286.88641,1531,1520.05,1585.5,1566.2
2023-01-16,14790.56763,21125,20615,21487.5,21138,116172.7574,1566.2,1520.05,1606.1,1563.7
2023-01-17,10069.00322,21138,21037.5,21645.5,21302,101028.6704,1563.7,1558.8,1610,1582.75
2023-01-18,17501.81883,21302,20403.5,21678.5,20804.5,216184.5453,1582.75,1502.1,1610.55,1527.4
2023-01-19,11918.52641,20804,20657.5,21223,20949.5,127081.4024,1527.4,1513.3,1564.95,1549.65
2023-01-20,16557.60771,20950,20900,22821,22666,171645.7746,1549.6,1544.4,1678.7,1651.85
2023-01-21,18104.22071,22666.5,22618,23376.5,22897,133138.7764,1651.85,1610,1680.6,1627.95
2023-01-22,8312.162413,22897,22311,23089.5,22699.5,70406.44678,1627.95,1610,1665.45,1635.05
2023-01-23,13848.88175,22699.5,22510,23190,23061.5,130311.883,1635.05,1588.2,1649.85,1636.45
